#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sun Oct 13 21:43:19 EDT 2019,50,50,Assignment3Suite,BuildTest1+ BuildTest2+ BuildTest3+ GetMinTest1+ GetMinTest2+ InsertTest1+ InsertTest2+ InsertTest3+ SizeTest1+ , ,DelMinTest1- DelMinTest2- DelMinTest3- DelMinTest4- EverythingTest- GetMinTest3- SizeTest2- SizeTest3- SizeTest4- , ,
1,Sun Oct 13 21:45:22 EDT 2019,50,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1 DelMinTest2 DelMinTest3 DelMinTest4 EverythingTest GetMinTest3 SizeTest2 SizeTest3 SizeTest4 , ,
2,Sun Oct 13 21:58:37 EDT 2019,88,38,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1+ DelMinTest3+ DelMinTest4+ GetMinTest1 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2+ SizeTest3+ SizeTest4+ , ,DelMinTest2 EverythingTest , ,
3,Sun Oct 13 22:01:35 EDT 2019,88,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest2 EverythingTest , ,
4,Sun Oct 13 22:05:00 EDT 2019,88,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest2 EverythingTest , ,
5,Sun Oct 13 22:05:42 EDT 2019,88,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest2 EverythingTest , ,
6,Sun Oct 13 22:28:15 EDT 2019,88,0,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest3 DelMinTest4 GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest2 EverythingTest , ,
7,Sun Oct 13 22:34:07 EDT 2019,55,-33,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest3 GetMinTest1 GetMinTest2 InsertTest1 InsertTest2 InsertTest3 SizeTest1 , ,DelMinTest1- DelMinTest2 DelMinTest4- EverythingTest GetMinTest3- SizeTest2- SizeTest3- SizeTest4- , ,
8,Sun Oct 13 22:34:35 EDT 2019,88,33,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1+ DelMinTest3 DelMinTest4+ GetMinTest1 GetMinTest2 GetMinTest3+ InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2+ SizeTest3+ SizeTest4+ , ,DelMinTest2 EverythingTest , ,
9,Sun Oct 13 22:41:35 EDT 2019,94,6,Assignment3Suite,BuildTest1 BuildTest2 BuildTest3 DelMinTest1 DelMinTest2+ DelMinTest3 EverythingTest+ GetMinTest1 GetMinTest2 GetMinTest3 InsertTest1 InsertTest2 InsertTest3 SizeTest1 SizeTest2 SizeTest3 SizeTest4 , ,DelMinTest4- , ,
